id,category,name,publisher,covers,base_url,access_method,format,verify,notes
# --- A. Federal / market-wide ---
s001,federal,MSRB EMMA,MSRB,all NYC issuers' CUSIPs — OS/disclosure/trades,https://emma.msrb.org/,scrape,html/pdf,yes,primary; key each issuer by CUSIP-6
s002,federal,MSRB market data (RTRS),MSRB,muni trade prints,https://www.msrb.org/Market-Data,api,csv,pending,trade tape
s003,federal,U.S. Census — Government Units (GUS),U.S. Census,government inventory + FIPS,https://www.census.gov/programs-surveys/gus.html,api,json/csv,yes,coverage denominator
s004,federal,U.S. Census — State & Local Gov Finances,U.S. Census,gov finance survey,https://www.census.gov/programs-surveys/gov-finances.html,api,csv,yes,cross-source reference
s005,federal,IRS Tax-Exempt Bonds (TEB),IRS,tax-exempt status/enforcement,https://www.irs.gov/tax-exempt-bonds,scrape,html,pending,
s006,federal,SEC EDGAR full-text,SEC,conduit/obligated-person filings,https://efts.sec.gov/LATEST/search-index?q=,api,json,pending,some muni obligors
s007,federal,U.S. Treasury SLGS,U.S. Treasury,state & local gov securities (refundings),https://www.treasurydirect.gov/,scrape,html,pending,
s008,federal,FRED — municipal series,Federal Reserve (St. Louis),muni yield/index series,https://fred.stlouisfed.org/,api,json/csv,pending,macro/context
s009,federal,DAC / continuing-disclosure agents,Digital Assurance Certification,continuing disclosure filings,https://www.dacbond.com/,scrape,html,pending,mirrors EMMA filings
s010,federal,GFOA,Gov Finance Officers Assoc,ACFR award / best practice,https://www.gfoa.org/,scrape,html,pending,
# --- B. NYC issuers ---
s011,issuer,City of New York (GO),City of New York,general obligation,https://comptroller.nyc.gov/services/financial-matters/nyc-bonds/invest-in-nyc-bonds/nyc-official-statements-archive/,scrape,pdf,yes,
s012,issuer,NYC Transitional Finance Authority (TFA),NYC TFA,Future Tax Secured + Building Aid,https://www.nyc.gov/site/transitionalfinance/investing/investing.page,scrape,html/pdf,yes,
s013,issuer,NYC Municipal Water Finance Authority (NYW),NYW,water & sewer revenue,https://www.nyc.gov/site/nyw/investing-in-nyw-bonds/continuing-disclosure-emma-notices.page,scrape,html/pdf,yes,
s014,issuer,TSASC Inc.,TSASC,tobacco settlement,https://www.nyc.gov/site/investorrelations/index.page,scrape,html,partial,resolve TSASC page/EMMA
s015,issuer,Hudson Yards Infrastructure Corp (HYIC),HYIC,Hudson Yards revenue,https://www.nyc.gov/site/investorrelations/index.page,scrape,html,partial,
s016,issuer,Sales Tax Asset Receivable Corp (STARC),STARC,sales-tax secured,https://www.nyc.gov/site/investorrelations/index.page,scrape,html,partial,
s017,issuer,NYC Housing Development Corp (HDC),NYC HDC,multifamily housing revenue,https://www.nychdc.com/,scrape,html/pdf,partial,large national housing issuer
s018,issuer,NYC Health + Hospitals (HHC),NYC H+H,health system revenue,https://www.nychealthandhospitals.org/,scrape,html,partial,
s019,issuer,NYC IDA / Build NYC (via NYCEDC),NYCEDC,conduit revenue (obligor != issuer),https://edc.nyc/,scrape,html,partial,
s020,issuer,NYC Educational Construction Fund (ECF),NYC ECF,school-lease revenue,https://www.nyc.gov/site/investorrelations/index.page,scrape,html,partial,
s021,issuer,NYC School Construction Authority (SCA),NYC SCA,capital program,https://www.nycsca.org/,scrape,html,pending,
s022,issuer,NYC Housing Authority (NYCHA),NYCHA,capital/operating,https://www.nyc.gov/site/nycha/index.page,scrape,html,pending,
